DateTime,Consumption kWh,Off-peak,Mid-peak,On-peak
11/25/2011 01:00:00,0.39,1,0,0
11/25/2011 02:00:00,0.33,1,0,0
11/25/2011 03:00:00,0.27,1,0,0
11/25/2011 04:00:00,0.29,1,0,0
11/25/2011 05:00:00,0.29,1,0,0
11/25/2011 06:00:00,0.29,1,0,0
11/25/2011 07:00:00,0.28,1,0,0
11/25/2011 08:00:00,0.31,0,0,1
11/25/2011 09:00:00,0.33,0,0,1
11/25/2011 10:00:00,0.48,0,0,1
11/25/2011 11:00:00,0.47,0,0,1
11/25/2011 12:00:00,0.47,0,1,0
11/25/2011 13:00:00,0.48,0,1,0
11/25/2011 14:00:00,0.42,0,1,0
11/25/2011 15:00:00,0.34,0,1,0
11/25/2011 16:00:00,0.36,0,1,0
11/25/2011 17:00:00,0.3,0,1,0
11/25/2011 18:00:00,0.32,0,0,1
11/25/2011 19:00:00,0.3,0,0,1
11/25/2011 20:00:00,0.39,1,0,0
11/25/2011 21:00:00,0.36,1,0,0
11/25/2011 22:00:00,0.39,1,0,0
11/25/2011 23:00:00,0.37,1,0,0
11/25/2011 00:00:00,0.3,1,0,0
11/26/2011 01:00:00,0.3,1,0,0
11/26/2011 02:00:00,0.26,1,0,0
11/26/2011 03:00:00,0.27,1,0,0
11/26/2011 04:00:00,0.27,1,0,0
11/26/2011 05:00:00,0.29,1,0,0
11/26/2011 06:00:00,0.28,1,0,0
11/26/2011 07:00:00,0.26,1,0,0
11/26/2011 08:00:00,0.27,1,0,0
11/26/2011 09:00:00,0.29,1,0,0
11/26/2011 10:00:00,0.29,1,0,0
11/26/2011 11:00:00,0.3,1,0,0
11/26/2011 12:00:00,0.26,1,0,0
11/26/2011 13:00:00,2.35,1,0,0
11/26/2011 14:00:00,0.65,1,0,0
11/26/2011 15:00:00,0.32,1,0,0
11/26/2011 16:00:00,0.35,1,0,0
11/26/2011 17:00:00,0.42,1,0,0
11/26/2011 18:00:00,0.35,1,0,0
11/26/2011 19:00:00,0.33,1,0,0
11/26/2011 20:00:00,0.33,1,0,0
11/26/2011 21:00:00,0.32,1,0,0
11/26/2011 22:00:00,0.31,1,0,0
11/26/2011 23:00:00,0.31,1,0,0
11/26/2011 00:00:00,0.3,1,0,0
11/27/2011 01:00:00,0.32,1,0,0
11/27/2011 02:00:00,0.31,1,0,0
11/27/2011 03:00:00,0.26,1,0,0
11/27/2011 04:00:00,0.29,1,0,0
11/27/2011 05:00:00,0.28,1,0,0
11/27/2011 06:00:00,0.27,1,0,0
11/27/2011 07:00:00,0.27,1,0,0
11/27/2011 08:00:00,0.26,1,0,0
11/27/2011 09:00:00,0.28,1,0,0
11/27/2011 10:00:00,1.57,1,0,0
11/27/2011 11:00:00,4.19,1,0,0
11/27/2011 12:00:00,0.41,1,0,0
11/27/2011 13:00:00,0.38,1,0,0
11/27/2011 14:00:00,0.29,1,0,0
11/27/2011 15:00:00,0.34,1,0,0
11/27/2011 16:00:00,0.3,1,0,0
11/27/2011 17:00:00,0.27,1,0,0
11/27/2011 18:00:00,0.26,1,0,0
11/27/2011 19:00:00,0.47,1,0,0
11/27/2011 20:00:00,0.3,1,0,0
11/27/2011 21:00:00,0.3,1,0,0
11/27/2011 22:00:00,0.69,1,0,0
11/27/2011 23:00:00,0.73,1,0,0
11/27/2011 00:00:00,0.37,1,0,0
11/28/2011 01:00:00,0.31,1,0,0
11/28/2011 02:00:00,0.31,1,0,0
11/28/2011 03:00:00,0.29,1,0,0
11/28/2011 04:00:00,0.29,1,0,0
11/28/2011 05:00:00,0.32,1,0,0
11/28/2011 06:00:00,0.29,1,0,0
11/28/2011 07:00:00,0.32,1,0,0
11/28/2011 08:00:00,0.36,0,0,1
11/28/2011 09:00:00,0.38,0,0,1
11/28/2011 10:00:00,2.54,0,0,1
11/28/2011 11:00:00,0.52,0,0,1
11/28/2011 12:00:00,0.37,0,1,0
11/28/2011 13:00:00,0.31,0,1,0
11/28/2011 14:00:00,0.26,0,1,0
11/28/2011 15:00:00,0.31,0,1,0
11/28/2011 16:00:00,0.36,0,1,0
11/28/2011 17:00:00,0.32,0,1,0
11/28/2011 18:00:00,0.3,0,0,1
11/28/2011 19:00:00,0.37,0,0,1
11/28/2011 20:00:00,0.56,1,0,0
11/28/2011 21:00:00,0.45,1,0,0
11/28/2011 22:00:00,0.42,1,0,0
11/28/2011 23:00:00,0.52,1,0,0
11/28/2011 00:00:00,0.41,1,0,0
11/29/2011 01:00:00,0.3,1,0,0
11/29/2011 02:00:00,0.3,1,0,0
11/29/2011 03:00:00,0.3,1,0,0
11/29/2011 04:00:00,0.29,1,0,0
11/29/2011 05:00:00,0.3,1,0,0
11/29/2011 06:00:00,0.27,1,0,0
11/29/2011 07:00:00,0.4,1,0,0
11/29/2011 08:00:00,0.31,0,0,1
11/29/2011 09:00:00,0.26,0,0,1
11/29/2011 10:00:00,0.28,0,0,1
11/29/2011 11:00:00,0.27,0,0,1
11/29/2011 12:00:00,0.39,0,1,0
11/29/2011 13:00:00,0.41,0,1,0
11/29/2011 14:00:00,0.39,0,1,0
11/29/2011 15:00:00,0.41,0,1,0
11/29/2011 16:00:00,0.38,0,1,0
11/29/2011 17:00:00,0.37,0,1,0
11/29/2011 18:00:00,0.48,0,0,1
11/29/2011 19:00:00,0.5,0,0,1
11/29/2011 20:00:00,0.41,1,0,0
11/29/2011 21:00:00,0.5,1,0,0
11/29/2011 22:00:00,0.47,1,0,0
11/29/2011 23:00:00,0.43,1,0,0
11/29/2011 00:00:00,0.44,1,0,0
11/30/2011 01:00:00,0.35,1,0,0
11/30/2011 02:00:00,0.31,1,0,0
11/30/2011 03:00:00,0.3,1,0,0
11/30/2011 04:00:00,0.3,1,0,0
11/30/2011 05:00:00,0.31,1,0,0
11/30/2011 06:00:00,0.3,1,0,0
11/30/2011 07:00:00,0.32,1,0,0
11/30/2011 08:00:00,0.33,0,0,1
11/30/2011 09:00:00,0.27,0,0,1
11/30/2011 10:00:00,0.43,0,0,1
11/30/2011 11:00:00,0.36,0,0,1
11/30/2011 12:00:00,0.35,0,1,0
11/30/2011 13:00:00,0.38,0,1,0
11/30/2011 14:00:00,0.35,0,1,0
11/30/2011 15:00:00,0.34,0,1,0
11/30/2011 16:00:00,0.37,0,1,0
11/30/2011 17:00:00,0.38,0,1,0
11/30/2011 18:00:00,0.7,0,0,1
11/30/2011 19:00:00,0.44,0,0,1
11/30/2011 20:00:00,0.5,1,0,0
11/30/2011 21:00:00,0.7,1,0,0
11/30/2011 22:00:00,0.63,1,0,0
11/30/2011 23:00:00,0.62,1,0,0
11/30/2011 00:00:00,0.41,1,0,0
12/01/2011 01:00:00,0.31,1,0,0
12/01/2011 02:00:00,0.29,1,0,0
12/01/2011 03:00:00,0.28,1,0,0
12/01/2011 04:00:00,0.3,1,0,0
12/01/2011 05:00:00,0.3,1,0,0
12/01/2011 06:00:00,0.3,1,0,0
12/01/2011 07:00:00,0.37,1,0,0
12/01/2011 08:00:00,0.29,0,0,1
12/01/2011 09:00:00,0.34,0,0,1
12/01/2011 10:00:00,0.36,0,0,1
12/01/2011 11:00:00,0.34,0,0,1
12/01/2011 12:00:00,1.26,0,1,0
12/01/2011 13:00:00,0.59,0,1,0
12/01/2011 14:00:00,0.24,0,1,0
12/01/2011 15:00:00,0.28,0,1,0
12/01/2011 16:00:00,0.33,0,1,0
12/01/2011 17:00:00,0.32,0,1,0
12/01/2011 18:00:00,0.5,0,0,1
12/01/2011 19:00:00,0.48,0,0,1
12/01/2011 20:00:00,0.51,1,0,0
12/01/2011 21:00:00,0.46,1,0,0
12/01/2011 22:00:00,0.45,1,0,0
12/01/2011 23:00:00,0.43,1,0,0
12/01/2011 00:00:00,0.52,1,0,0
12/02/2011 01:00:00,0.35,1,0,0
12/02/2011 02:00:00,0.31,1,0,0
12/02/2011 03:00:00,0.27,1,0,0
12/02/2011 04:00:00,0.3,1,0,0
12/02/2011 05:00:00,0.31,1,0,0
12/02/2011 06:00:00,0.29,1,0,0
12/02/2011 07:00:00,0.28,1,0,0
12/02/2011 08:00:00,0.36,0,0,1
12/02/2011 09:00:00,0.33,0,0,1
12/02/2011 10:00:00,0.44,0,0,1
12/02/2011 11:00:00,0.42,0,0,1
12/02/2011 12:00:00,0.67,0,1,0
12/02/2011 13:00:00,0.43,0,1,0
12/02/2011 14:00:00,0.52,0,1,0
12/02/2011 15:00:00,0.35,0,1,0
12/02/2011 16:00:00,0.45,0,1,0
12/02/2011 17:00:00,0.38,0,1,0
12/02/2011 18:00:00,0.32,0,0,1
12/02/2011 19:00:00,0.3,0,0,1
12/02/2011 20:00:00,0.36,1,0,0
12/02/2011 21:00:00,0.33,1,0,0
12/02/2011 22:00:00,0.46,1,0,0
12/02/2011 23:00:00,0.36,1,0,0
12/02/2011 00:00:00,0.32,1,0,0
12/03/2011 01:00:00,0.31,1,0,0
12/03/2011 02:00:00,0.28,1,0,0
12/03/2011 03:00:00,0.3,1,0,0
12/03/2011 04:00:00,0.33,1,0,0
12/03/2011 05:00:00,0.32,1,0,0
12/03/2011 06:00:00,0.3,1,0,0
12/03/2011 07:00:00,0.31,1,0,0
12/03/2011 08:00:00,0.29,1,0,0
12/03/2011 09:00:00,0.39,1,0,0
12/03/2011 10:00:00,0.38,1,0,0
12/03/2011 11:00:00,0.34,1,0,0
12/03/2011 12:00:00,0.34,1,0,0
12/03/2011 13:00:00,0.32,1,0,0
12/03/2011 14:00:00,0.3,1,0,0
12/03/2011 15:00:00,0.28,1,0,0
12/03/2011 16:00:00,0.26,1,0,0
12/03/2011 17:00:00,0.3,1,0,0
12/03/2011 18:00:00,0.26,1,0,0
12/03/2011 19:00:00,0.38,1,0,0
12/03/2011 20:00:00,0.35,1,0,0
12/03/2011 21:00:00,0.46,1,0,0
12/03/2011 22:00:00,0.44,1,0,0
12/03/2011 23:00:00,0.4,1,0,0
12/03/2011 00:00:00,0.37,1,0,0
12/04/2011 01:00:00,0.33,1,0,0
12/04/2011 02:00:00,0.29,1,0,0
12/04/2011 03:00:00,0.27,1,0,0
12/04/2011 04:00:00,0.3,1,0,0
12/04/2011 05:00:00,0.31,1,0,0
12/04/2011 06:00:00,0.28,1,0,0
12/04/2011 07:00:00,0.28,1,0,0
12/04/2011 08:00:00,0.26,1,0,0
12/04/2011 09:00:00,0.38,1,0,0
12/04/2011 10:00:00,0.37,1,0,0
12/04/2011 11:00:00,0.32,1,0,0
12/04/2011 12:00:00,0.29,1,0,0
12/04/2011 13:00:00,0.32,1,0,0
12/04/2011 14:00:00,0.35,1,0,0
12/04/2011 15:00:00,0.3,1,0,0
12/04/2011 16:00:00,0.34,1,0,0
12/04/2011 17:00:00,2,1,0,0
12/04/2011 18:00:00,4.79,1,0,0
12/04/2011 19:00:00,0.62,1,0,0
12/04/2011 20:00:00,2.15,1,0,0
12/04/2011 21:00:00,1.51,1,0,0
12/04/2011 22:00:00,3.05,1,0,0
12/04/2011 23:00:00,0.39,1,0,0
12/04/2011 00:00:00,0.41,1,0,0
12/05/2011 01:00:00,0.33,1,0,0
12/05/2011 02:00:00,0.27,1,0,0
12/05/2011 03:00:00,0.26,1,0,0
12/05/2011 04:00:00,0.28,1,0,0
12/05/2011 05:00:00,0.41,1,0,0
12/05/2011 06:00:00,0.28,1,0,0
12/05/2011 07:00:00,0.3,1,0,0
12/05/2011 08:00:00,0.37,0,0,1
12/05/2011 09:00:00,0.26,0,0,1
12/05/2011 10:00:00,0.36,0,0,1
12/05/2011 11:00:00,0.35,0,0,1
12/05/2011 12:00:00,0.4,0,1,0
12/05/2011 13:00:00,0.4,0,1,0
12/05/2011 14:00:00,0.35,0,1,0
12/05/2011 15:00:00,0.35,0,1,0
12/05/2011 16:00:00,0.42,0,1,0
12/05/2011 17:00:00,0.36,0,1,0
12/05/2011 18:00:00,0.31,0,0,1
12/05/2011 19:00:00,0.38,0,0,1
12/05/2011 20:00:00,0.54,1,0,0
12/05/2011 21:00:00,0.51,1,0,0
12/05/2011 22:00:00,0.46,1,0,0
12/05/2011 23:00:00,0.36,1,0,0
12/05/2011 00:00:00,0.31,1,0,0
12/06/2011 01:00:00,0.3,1,0,0
12/06/2011 02:00:00,0.27,1,0,0
12/06/2011 03:00:00,0.28,1,0,0
12/06/2011 04:00:00,0.31,1,0,0
12/06/2011 05:00:00,0.3,1,0,0
12/06/2011 06:00:00,0.28,1,0,0
12/06/2011 07:00:00,0.31,1,0,0
12/06/2011 08:00:00,0.34,0,0,1
12/06/2011 09:00:00,0.28,0,0,1
12/06/2011 10:00:00,1.11,0,0,1
12/06/2011 11:00:00,1.62,0,0,1
12/06/2011 12:00:00,0.93,0,1,0
12/06/2011 13:00:00,0.36,0,1,0
12/06/2011 14:00:00,0.27,0,1,0
12/06/2011 15:00:00,0.34,0,1,0
12/06/2011 16:00:00,0.5,0,1,0
12/06/2011 17:00:00,0.35,0,1,0
12/06/2011 18:00:00,0.4,0,0,1
12/06/2011 19:00:00,0.48,0,0,1
12/06/2011 20:00:00,0.46,1,0,0
12/06/2011 21:00:00,0.45,1,0,0
12/06/2011 22:00:00,0.5,1,0,0
12/06/2011 23:00:00,0.48,1,0,0
